from,to ,col
9,.missing,WB18
9,.missing,MT1
9,.missing,MT2
9,.missing,MT3
9,.missing,MT4
9,.missing,MT5
9,.missing,MT9
9,.missing,MT10
9,.missing,MT11
9,.missing,MT12
9,.missing,FN1A
9,.missing,FN1A
9,.missing,FN1B
9,.missing,FN1C
9,.missing,FN1D
9,.missing,FN1E
9,.missing,FN1F
9,.missing,FN1G
9,.missing,FN1H
9,.missing,FN1I
9,.missing,FN1J
9,.missing,FN1K
9,.missing,FN1L
9,.missing,FN2
8,.missing,FN1A
8,.missing,FN1A
8,.missing,FN1B
8,.missing,FN1C
8,.missing,FN1D
8,.missing,FN1E
8,.missing,FN1F
8,.missing,FN1G
8,.missing,FN1H
8,.missing,FN1I
8,.missing,FN1J
8,.missing,FN1K
8,.missing,FN1L
8,.missing,FN2
9,.missing,VT20
9,.missing,VT21
8,.missing,VT22A
9,.missing,VT22A
9,.missing,VT22B
9,.missing,VT22C
9,.missing,VT22D
9,.missing,VT22E
9,.missing,VT22F
9,.missing,VT22X
8,.missing,VT22A
8,.missing,VT22B
8,.missing,VT22C
8,.missing,VT22D
8,.missing,VT22E
8,.missing,VT22F
8,.missing,VT22X
8,.missing,DV1A
8,.missing,DV1B
8,.missing,DV1C
8,.missing,DV1D
8,.missing,DV1F
9,.missing,DV1A
9,.missing,DV1B
9,.missing,DV1C
9,.missing,DV1D
9,.missing,DV1F
9,.missing,welevel
11,1,WM14
12,2,WM14
13,3,WM14
14,4,WM14
15,5,WM14
16,6,WM14
17,7,WM14
18,8,WM14
19,9,WM14
96,10,WM14
96,10,ethnicity
9,.missing,HC1A
9,.missing,HC7A
9,.missing,HC7B
9,.missing,HC9A
9,.missing,HC11
9,.missing,HC12
9,.missing,HC13
9,.missing,ST2_1
9,.missing,ST2_2
9,.missing,ST2_3
9,.missing,ST2_4
9,.missing,ST3_1
9,.missing,ST3_2
9,.missing,ST3_3
9,.missing,ST3_4
8,.missing,ST3_1
8,.missing,ST3_2
8,.missing,ST3_3
8,.missing,ST3_4
9,.missing,HHSEX
9,.missing,helevel
9,.missing,LS1
9,.missing,LS3
9,.missing,LS4
11,1,FN5
21,2,FN5
22,3,FN5
23,4,FN5
24,5,FN5
25,6,FN5
26,7,FN5
27,8,FN5
28,9,FN5
96,10,FN5
99,.missing,FN5
99,.missing,LS2
